,Processor,Prompt,Model,F1_type-1,TP_type-1,FP_type-1,TN_type-1,FN_type-1,F1_type-2,TP_type-2,FP_type-2,TN_type-2,FN_type-2,F1_type-3,TP_type-3,FP_type-3,TN_type-3,FN_type-3,F1_type-4,TP_type-4,FP_type-4,TN_type-4,FN_type-4,F1_not-clone,TP_not-clone,FP_not-clone,TN_not-clone,FN_not-clone
0,defaultpatch,llm4cc-clone_type-patch,deepseek-coder:6.7b,0.14057971014492754,97,954,2965,232,0.002886002886002886,1,669,3556,22,0.32852852852852854,547,533,1465,1703,0.02005012531328321,4,304,3853,87,0.22761760242792106,300,839,1912,1197
1,defaultpatch,llm4cc-integrated-patch,deepseek-coder:6.7b,0.13524779990736452,146,1684,2235,183,0.006493506493506493,4,1205,3020,19,0.06575114440282981,79,74,1924,2171,0.0546448087431694,10,265,3892,81,0.24934152765583845,284,497,2254,1213
2,defaultpatch,llm4cc-clone_type-patch,qwen2.5-coder:7b,0.5422680412371135,263,378,3541,66,0.026905829596412554,3,197,4028,20,0.019064124783362217,22,36,1962,2228,0.0,0,0,4157,91,0.5963681386710689,1445,1904,847,52
3,defaultpatch,llm4cc-integrated-patch,qwen2.5-coder:7b,0.19364914107235812,186,1406,2513,143,0.0032599837000815,2,1202,3023,21,0.03452740612861459,40,27,1971,2210,0.01,1,108,4049,90,0.57554994590696,798,478,2273,699
4,defaultpatch,llm4cc-clone_type-patch,hermes3:8b,0.015267175572519082,3,61,3858,326,0.06666666666666667,1,6,4219,22,0.4678068410462777,930,796,1202,1320,0.04733727810650888,56,2219,1938,35,0.10520023909145249,88,88,2663,1409
5,defaultpatch,llm4cc-integrated-patch,hermes3:8b,0.15959252971137522,141,1297,2622,188,0.00997506234413965,2,376,3849,21,0.10031847133757961,126,136,1862,2124,0.036231884057971016,20,993,3164,71,0.41446872645064053,550,607,2144,947
