,Processor,Prompt,Model,Micro,Macro,Kappa,Recall_type-1,Recall_type-2,Recall_type-3,Recall_type-4
0,defaultpatch,llm4cc-clone_type,magicoder:7b-s-cl,0.115,0.24849324103900036,-0.013672244805411848,0.3867924528301887,0.5666666666666667,0.019895287958115182,0.020618556701030927
1,defaultpatch,llm4cc-integrated,magicoder:7b-s-cl,0.07071428571428572,0.2460828883767461,-0.0036472720399873815,0.1792452830188679,0.7666666666666667,0.01780104712041885,0.020618556701030927
2,defaultpatch,llm4cc-clone_type-patch,magicoder:7b-s-cl,0.13714285714285715,0.2222490853905892,-0.009036099650667984,0.44339622641509435,0.36666666666666664,0.03769633507853403,0.041237113402061855
3,defaultpatch,llm4cc-integrated-patch,magicoder:7b-s-cl,0.09428571428571429,0.25964859037956844,0.0003288688263888284,0.20125786163522014,0.6666666666666666,0.03664921465968586,0.13402061855670103
4,defaultpatch,llm4cc-clone_type,codellama:7b-instruct,0.18642857142857142,0.26852974733798335,0.051558777958525814,0.5911949685534591,0.26666666666666666,0.05130890052356021,0.16494845360824742
5,defaultpatch,llm4cc-integrated,codellama:7b-instruct,0.09357142857142857,0.21958833326034788,-0.0036465939230967415,0.2672955974842767,0.5333333333333333,0.02617801047120419,0.05154639175257732
6,defaultpatch,llm4cc-clone_type-patch,codellama:7b-instruct,0.18428571428571427,0.24801898843537207,-0.009297557181744187,0.5974842767295597,0.2,0.050261780104712044,0.14432989690721648
7,defaultpatch,llm4cc-integrated-patch,codellama:7b-instruct,0.12571428571428572,0.25091246228095454,0.00789411979261645,0.37735849056603776,0.5,0.033507853403141365,0.09278350515463918
8,defaultpatch,llm4cc-clone_type,codellama:13b-instruct,0.08928571428571429,0.22363182850933516,-0.006521810228065972,0.27358490566037735,0.6,0.020942408376963352,0.0
9,defaultpatch,llm4cc-integrated,codellama:13b-instruct,0.09,0.2297914602281966,0.006030911346383228,0.2672955974842767,0.6,0.020942408376963352,0.030927835051546393
10,defaultpatch,llm4cc-clone_type-patch,codellama:13b-instruct,0.13,0.2999108050022523,0.0064014040436176645,0.46855345911949686,0.7,0.010471204188481676,0.020618556701030927
11,defaultpatch,llm4cc-integrated-patch,codellama:13b-instruct,0.11428571428571428,0.22638580680991502,-0.03480114948763635,0.3522012578616352,0.43333333333333335,0.027225130890052355,0.09278350515463918
12,defaultpatch,llm4cc-clone_type,deepseek-coder:6.7b,0.22214285714285714,0.2766964447264285,-0.0005952642691144927,0.39622641509433965,0.4666666666666667,0.17172774869109947,0.07216494845360824
13,defaultpatch,llm4cc-integrated,deepseek-coder:6.7b,0.13857142857142857,0.2159556611751063,0.0032122259409235188,0.4025157232704403,0.36666666666666664,0.05340314136125655,0.041237113402061855
14,defaultpatch,llm4cc-clone_type-patch,deepseek-coder:6.7b,0.31,0.26365364097205746,-0.024824952259707267,0.34591194968553457,0.26666666666666666,0.3183246073298429,0.12371134020618557
15,defaultpatch,llm4cc-integrated-patch,deepseek-coder:6.7b,0.15857142857142856,0.26428043314652455,0.0002600584737537659,0.5031446540880503,0.4666666666666667,0.04607329842931937,0.041237113402061855
16,defaultpatch,llm4cc-clone_type,codegemma:7b-instruct,0.6171428571428571,0.3323993827807996,0.2115137485985561,0.06289308176100629,0.36666666666666664,0.8691099476439791,0.030927835051546393
17,defaultpatch,llm4cc-integrated,codegemma:7b-instruct,0.09714285714285714,0.23648689843447926,-0.04793025484081492,0.36792452830188677,0.5666666666666667,0.0010471204188481676,0.010309278350515464
18,defaultpatch,llm4cc-clone_type-patch,codegemma:7b-instruct,0.52,0.30181091305465113,0.16298634514713572,0.07232704402515723,0.4,0.724607329842932,0.010309278350515464
19,defaultpatch,llm4cc-integrated-patch,codegemma:7b-instruct,0.13857142857142857,0.25242008688322637,0.012891921487373836,0.5660377358490566,0.43333333333333335,0.0,0.010309278350515464
20,defaultpatch,llm4cc-clone_type,qwen2.5:7b,0.3119556611243072,0.3232528575450279,0.1028737055573673,0.426056338028169,0.4,0.2823397075365579,0.18461538461538463
21,defaultpatch,llm4cc-integrated,qwen2.5:7b,0.27949326999208235,0.2983932334162455,0.051977778602625424,0.45422535211267606,0.12,0.21934758155230596,0.4
