,Processor,Prompt,Model,Recall_type-1,Recall_type-2,Recall_type-3,Recall_type-4
0,defaultpatch,llm4cc-clone_type-patch,magicoder:7b-s-cl,0.44339622641509435,0.36666666666666664,0.03769633507853403,0.041237113402061855
1,defaultpatch,llm4cc-integrated-patch,magicoder:7b-s-cl,0.20125786163522014,0.6666666666666666,0.03664921465968586,0.13402061855670103
2,defaultpatch,llm4cc-clone_type-patch,codellama:7b-instruct,0.5974842767295597,0.2,0.050261780104712044,0.14432989690721648
3,defaultpatch,llm4cc-integrated-patch,codellama:7b-instruct,0.37735849056603776,0.5,0.033507853403141365,0.09278350515463918
4,defaultpatch,llm4cc-clone_type-patch,codellama:13b-instruct,0.46855345911949686,0.7,0.010471204188481676,0.020618556701030927
5,defaultpatch,llm4cc-integrated-patch,codellama:13b-instruct,0.3522012578616352,0.43333333333333335,0.027225130890052355,0.09278350515463918
6,defaultpatch,llm4cc-clone_type-patch,deepseek-coder:6.7b,0.34591194968553457,0.26666666666666666,0.3183246073298429,0.12371134020618557
7,defaultpatch,llm4cc-integrated-patch,deepseek-coder:6.7b,0.5031446540880503,0.4666666666666667,0.04607329842931937,0.041237113402061855
8,defaultpatch,llm4cc-clone_type-patch,codegemma:7b-instruct,0.07232704402515723,0.4,0.724607329842932,0.010309278350515464
9,defaultpatch,llm4cc-integrated-patch,codegemma:7b-instruct,0.5660377358490566,0.43333333333333335,0.0,0.010309278350515464
10,defaultpatch,llm4cc-clone_type-patch,qwen2.5:7b,0.4507042253521127,0.12,0.2643419572553431,0.23076923076923078
11,defaultpatch,llm4cc-integrated-patch,qwen2.5:7b,0.4859154929577465,0.16,0.11023622047244094,0.18461538461538463
12,defaultpatch,llm4cc-clone_type-patch,qwen2.5-coder:7b,0.7288732394366197,0.12,0.00562429696287964,0.0
13,defaultpatch,llm4cc-integrated-patch,qwen2.5-coder:7b,0.5633802816901409,0.16,0.003374578177727784,0.06153846153846154
14,defaultpatch,llm4cc-clone_type-patch,yi-coder:9b,0.3485915492957746,0.4,0.05736782902137233,0.12307692307692308
15,defaultpatch,llm4cc-integrated-patch,yi-coder:9b,0.28169014084507044,0.4,0.049493813273340834,0.15384615384615385
16,defaultpatch,llm4cc-clone_type-patch,hermes3:8b,0.014084507042253521,0.04,0.05061867266591676,0.6307692307692307
17,defaultpatch,llm4cc-integrated-patch,hermes3:8b,0.47183098591549294,0.08,0.03824521934758155,0.2923076923076923
18,method,llm4cc-clone_type-patch,magicoder:7b-s-cl,0.721830985915493,0.04,0.0022522522522522522,0.1076923076923077
19,method,llm4cc-integrated-patch,magicoder:7b-s-cl,0.31338028169014087,0.44,0.02702702702702703,0.18461538461538463
20,method,llm4cc-clone_type-patch,codellama:7b-instruct,0.6866197183098591,0.2,0.041666666666666664,0.16923076923076924
21,method,llm4cc-integrated-patch,codellama:7b-instruct,0.4894366197183099,0.2,0.039414414414414414,0.2
22,method,llm4cc-clone_type-patch,codellama:13b-instruct,0.8415492957746479,0.12,0.06981981981981981,0.015384615384615385
23,method,llm4cc-integrated-patch,codellama:13b-instruct,0.43661971830985913,0.36,0.06644144144144144,0.09230769230769231
24,method,llm4cc-clone_type-patch,deepseek-coder:6.7b,0.7711267605633803,0.04,0.0033783783783783786,0.1076923076923077
25,method,llm4cc-integrated-patch,deepseek-coder:6.7b,0.5316901408450704,0.56,0.0022522522522522522,0.06153846153846154
26,method,llm4cc-clone_type-patch,codegemma:7b-instruct,0.9612676056338029,0.0,0.0011261261261261261,0.046153846153846156
27,method,llm4cc-integrated-patch,codegemma:7b-instruct,0.7676056338028169,0.36,0.0011261261261261261,0.06153846153846154
28,method,llm4cc-clone_type-patch,qwen2.5:7b,0.7359154929577465,0.04,0.0,0.12307692307692308
29,method,llm4cc-integrated-patch,qwen2.5:7b,0.5070422535211268,0.2,0.04279279279279279,0.18461538461538463
30,method,llm4cc-clone_type-patch,qwen2.5-coder:7b,0.9929577464788732,0.0,0.0,0.03076923076923077
31,method,llm4cc-integrated-patch,qwen2.5-coder:7b,0.7007042253521126,0.36,0.016891891891891893,0.18461538461538463
32,method,llm4cc-clone_type-patch,yi-coder:9b,0.6514084507042254,0.2,0.018018018018018018,0.27692307692307694
33,method,llm4cc-integrated-patch,yi-coder:9b,0.5422535211267606,0.44,0.016891891891891893,0.06153846153846154
34,method,llm4cc-clone_type-patch,hermes3:8b,0.035211267605633804,0.12,0.13175675675675674,0.7846153846153846
35,method,llm4cc-integrated-patch,hermes3:8b,0.6197183098591549,0.08,0.02927927927927928,0.16923076923076924
