,Model1,Model2,Prompt1,Prompt2,Processor1,Processor2,Kappa
42,magicoder:7b-s-cl,codegemma:7b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.03723523969091502
43,magicoder:7b-s-cl,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.025724205016895985
44,magicoder:7b-s-cl,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.01607362401019885
45,magicoder:7b-s-cl,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.01270242797172405
46,magicoder:7b-s-cl,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.0015089379793448154
47,magicoder:7b-s-cl,yi-coder:9b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.00861834201041245
48,magicoder:7b-s-cl,yi-coder:9b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.020051732701561797
49,magicoder:7b-s-cl,hermes3:8b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.004113238449657497
50,magicoder:7b-s-cl,hermes3:8b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.014225918854755881
51,magicoder:7b-s-cl,magicoder:7b-s-cl,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.02366335020320509
52,magicoder:7b-s-cl,magicoder:7b-s-cl,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.016636261269072805
53,magicoder:7b-s-cl,codellama:7b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.03232243252627853
54,magicoder:7b-s-cl,codellama:7b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.013178176892355786
55,magicoder:7b-s-cl,codellama:13b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.006915267502708988
56,magicoder:7b-s-cl,codellama:13b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.006348631336242638
57,magicoder:7b-s-cl,deepseek-coder:6.7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.00035669566971452404
58,magicoder:7b-s-cl,deepseek-coder:6.7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.02851659305485932
59,magicoder:7b-s-cl,codegemma:7b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.0007674472562544388
60,magicoder:7b-s-cl,codegemma:7b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.003563550259316095
61,magicoder:7b-s-cl,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.013767093033671629
62,magicoder:7b-s-cl,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.004093911956735252
63,magicoder:7b-s-cl,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.0006283073627531
64,magicoder:7b-s-cl,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.011029208097574461
65,magicoder:7b-s-cl,yi-coder:9b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.004485365425359822
66,magicoder:7b-s-cl,yi-coder:9b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.009195414760366338
67,magicoder:7b-s-cl,hermes3:8b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.004674955113655788
68,magicoder:7b-s-cl,hermes3:8b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.013601408696995887
69,codellama:7b-instruct,codellama:7b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.0025378049036262063
70,codellama:7b-instruct,codellama:13b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.01423251776209078
71,codellama:7b-instruct,codellama:13b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.001185457500016751
72,codellama:7b-instruct,deepseek-coder:6.7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.014439020371171285
73,codellama:7b-instruct,deepseek-coder:6.7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.04630582704021147
74,codellama:7b-instruct,codegemma:7b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.007980187121628957
75,codellama:7b-instruct,codegemma:7b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.007200523674449122
76,codellama:7b-instruct,qwen2.5:7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.004857187456381529
77,codellama:7b-instruct,qwen2.5:7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.018006418016124903
78,codellama:7b-instruct,qwen2.5-coder:7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.11896805354822904
79,codellama:7b-instruct,qwen2.5-coder:7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.051607940946954756
80,codellama:7b-instruct,yi-coder:9b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.01134376709120577
81,codellama:7b-instruct,yi-coder:9b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.0070867768972902034
82,codellama:7b-instruct,hermes3:8b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.012735265253005279
83,codellama:7b-instruct,hermes3:8b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.05350917830243851
84,codellama:7b-instruct,magicoder:7b-s-cl,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.0382236202175088
85,codellama:7b-instruct,magicoder:7b-s-cl,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,-0.016069415133237896
86,codellama:7b-instruct,codellama:7b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.04155806395855288
87,codellama:7b-instruct,codellama:7b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,-0.03753304078084496
88,codellama:7b-instruct,codellama:13b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.028732908040806304
89,codellama:7b-instruct,codellama:13b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,-0.05460148167358714
90,codellama:7b-instruct,deepseek-coder:6.7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,0.006694119411709276
91,codellama:7b-instruct,deepseek-coder:6.7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,-0.0019849146486699
92,codellama:7b-instruct,codegemma:7b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.0006729878662286026
93,codellama:7b-instruct,codegemma:7b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,0.03579470696444709
94,codellama:7b-instruct,qwen2.5:7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,0.025156528909637488
95,codellama:7b-instruct,qwen2.5:7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,-0.01286900210120212
96,codellama:7b-instruct,qwen2.5-coder:7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,0.005453252463365699
97,codellama:7b-instruct,qwen2.5-coder:7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,0.0013265199356825574
98,codellama:7b-instruct,yi-coder:9b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,0.02163659274515939
99,codellama:7b-instruct,yi-coder:9b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,0.011294428304654325
100,codellama:7b-instruct,hermes3:8b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.0028721396641469
101,codellama:7b-instruct,hermes3:8b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,0.011006420311222676
102,codellama:7b-instruct,codellama:13b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.001151617662936033
103,codellama:7b-instruct,codellama:13b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.005781485993105795
104,codellama:7b-instruct,deepseek-coder:6.7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.027881272381795275
105,codellama:7b-instruct,deepseek-coder:6.7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.03165248701658119
106,codellama:7b-instruct,codegemma:7b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.011312276301695512
107,codellama:7b-instruct,codegemma:7b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.014933550088534253
108,codellama:7b-instruct,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.00210012709190599
109,codellama:7b-instruct,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.007011527981555243
110,codellama:7b-instruct,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.01654325737369322
111,codellama:7b-instruct,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.011337737578711815
112,codellama:7b-instruct,yi-coder:9b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.0068761730155215695
113,codellama:7b-instruct,yi-coder:9b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.013479798145003774
114,codellama:7b-instruct,hermes3:8b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.00443514713315607
115,codellama:7b-instruct,hermes3:8b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.00529994732763206
116,codellama:7b-instruct,magicoder:7b-s-cl,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.05927492654372524
117,codellama:7b-instruct,magicoder:7b-s-cl,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.0008717377432160278
118,codellama:7b-instruct,codellama:7b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.008194407422671524
119,codellama:7b-instruct,codellama:7b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.02385512414871027
120,codellama:7b-instruct,codellama:13b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.029996453318793637
121,codellama:7b-instruct,codellama:13b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,0.03896814725795139
122,codellama:7b-instruct,deepseek-coder:6.7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.017114841969470773
123,codellama:7b-instruct,deepseek-coder:6.7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.0023857492789123302
124,codellama:7b-instruct,codegemma:7b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.009119177513564836
125,codellama:7b-instruct,codegemma:7b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.011475045721549781
126,codellama:7b-instruct,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.0007614866319709535
127,codellama:7b-instruct,qwen2.5:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.006003292463167664
128,codellama:7b-instruct,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.0005708486616768926
129,codellama:7b-instruct,qwen2.5-coder:7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.018888189360261265
130,codellama:7b-instruct,yi-coder:9b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.0165033290654234
131,codellama:7b-instruct,yi-coder:9b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.04534487777337115
132,codellama:7b-instruct,hermes3:8b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,method,0.0017825111950398043
133,codellama:7b-instruct,hermes3:8b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,method,-0.01073950037401894
134,codellama:13b-instruct,codellama:13b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.011854805252974665
135,codellama:13b-instruct,deepseek-coder:6.7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.03327400096034305
136,codellama:13b-instruct,deepseek-coder:6.7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.008752197907573978
137,codellama:13b-instruct,codegemma:7b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.004793021607126469
138,codellama:13b-instruct,codegemma:7b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.006829283715636181
139,codellama:13b-instruct,qwen2.5:7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.005596459122441222
140,codellama:13b-instruct,qwen2.5:7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.009692344934110864
141,codellama:13b-instruct,qwen2.5-coder:7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.009768242551136841
142,codellama:13b-instruct,qwen2.5-coder:7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.03233395192475852
143,codellama:13b-instruct,yi-coder:9b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.01707918061910818
144,codellama:13b-instruct,yi-coder:9b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.011523858274046672
145,codellama:13b-instruct,hermes3:8b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,0.0003529000321798037
146,codellama:13b-instruct,hermes3:8b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.03079733739787316
147,codellama:13b-instruct,magicoder:7b-s-cl,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.014747509538582282
148,codellama:13b-instruct,magicoder:7b-s-cl,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,-0.009028632346457233
149,codellama:13b-instruct,codellama:7b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,0.014898845713374853
150,codellama:13b-instruct,codellama:7b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,0.032396203852344874
151,codellama:13b-instruct,codellama:13b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.023190736021073022
152,codellama:13b-instruct,codellama:13b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,0.05119460025269429
153,codellama:13b-instruct,deepseek-coder:6.7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,0.021189894947143406
154,codellama:13b-instruct,deepseek-coder:6.7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,0.02140530848027855
155,codellama:13b-instruct,codegemma:7b-instruct,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,0.004403133299114015
156,codellama:13b-instruct,codegemma:7b-instruct,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,-0.018645916709726817
157,codellama:13b-instruct,qwen2.5:7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.06365522020308689
158,codellama:13b-instruct,qwen2.5:7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,0.014463169761993466
159,codellama:13b-instruct,qwen2.5-coder:7b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,0.006535577554765082
160,codellama:13b-instruct,qwen2.5-coder:7b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,-0.006054805856722023
161,codellama:13b-instruct,yi-coder:9b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,0.04102196716285844
162,codellama:13b-instruct,yi-coder:9b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,0.020753809859233696
163,codellama:13b-instruct,hermes3:8b,llm4cc-clone_type-patch,llm4cc-clone_type-patch,defaultpatch,method,-0.004739163862151896
164,codellama:13b-instruct,hermes3:8b,llm4cc-clone_type-patch,llm4cc-integrated-patch,defaultpatch,method,0.022891779651256883
165,codellama:13b-instruct,deepseek-coder:6.7b,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.006856162680348499
166,codellama:13b-instruct,deepseek-coder:6.7b,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,-0.016980820726572254
167,codellama:13b-instruct,codegemma:7b-instruct,llm4cc-integrated-patch,llm4cc-clone_type-patch,defaultpatch,defaultpatch,-0.017824133215107008
168,codellama:13b-instruct,codegemma:7b-instruct,llm4cc-integrated-patch,llm4cc-integrated-patch,defaultpatch,defaultpatch,0.031959249091992104
