ground_truth,mean,std,median,count
type-1,0.9206764931430824,0.17483999014517437,0.9613255858421326,12632
type-2,0.7962327159589015,0.2996237802041534,0.9515326023101807,1190
type-3,0.8094435428935626,0.24673403840748173,0.9150867462158203,784
type-4,0.9356660069398932,0.13610722236087278,0.9805541038513184,3958
