ground_truth,mean,std,median,count
type-1,0.8174437045430516,0.3137078140452803,0.9568585157394409,3129
type-2,0.9051630725176706,0.12421959579291611,0.9409672021865845,2726
type-3,0.8941076756807437,0.12958112660755822,0.9361875653266907,5589
type-4,0.8779449511220383,0.17107807654482787,0.9436072111129761,3245
