,Processor,Prompt,Model,Recall_type-1,Recall_type-2,Recall_type-3,Recall_type-4,Recall_not-clone
0,method,llm4cc-clone_type,codellama:13b-instruct,0.6990881458966566,0.0,0.017777777777777778,0.02197802197802198,0.10554442217768871
1,method,llm4cc-clone_type,hermes3:8b,0.030395136778115502,0.0,0.03955555555555555,0.8461538461538461,0.32798931195724784
