,Processor,Prompt,Model,F1_type-1,TP_type-1,FP_type-1,TN_type-1,FN_type-1,F1_type-2,TP_type-2,FP_type-2,TN_type-2,FN_type-2,F1_type-3,TP_type-3,FP_type-3,TN_type-3,FN_type-3,F1_type-4,TP_type-4,FP_type-4,TN_type-4,FN_type-4,F1_not-clone,TP_not-clone,FP_not-clone,TN_not-clone,FN_not-clone
0,method,llm4cc-clone_type,codellama:13b-instruct,0.18821603927986905,230,1885,2034,99,0,0,1088,3137,23,0.034349506225848,40,39,1959,2210,0.0125,2,227,3930,89,0.1414503133393017,158,579,2172,1339
1,method,llm4cc-clone_type,hermes3:8b,0.0315955766192733,10,294,3625,319,0,0,8,4217,23,0.0721816707218167,89,127,1871,2161,0.04856512141280354,77,3003,1154,14,0.4595226953673374,491,149,2602,1006
