,Processor,Prompt,Model,F1,Support,TP,FP,TN,FN
0,method,llm4cc-clone_type,codellama:13b-instruct,0.476802284082798,3617,334,190,2550,543
1,method,llm4cc-clone_type,hermes3:8b,0.4140625,3443,318,305,2225,595
