,Processor,Prompt,Model,F1_type-1,TP_type-1,FP_type-1,TN_type-1,FN_type-1,F1_type-2,TP_type-2,FP_type-2,TN_type-2,FN_type-2,F1_type-3,TP_type-3,FP_type-3,TN_type-3,FN_type-3,F1_type-4,TP_type-4,FP_type-4,TN_type-4,FN_type-4,F1_not-clone,TP_not-clone,FP_not-clone,TN_not-clone,FN_not-clone
0,method,llm4cc-clone_type,deepseek-coder:6.7b,0.17964824120603012,143,1120,2799,186,0.011834319526627219,2,313,3912,21,0.03834682573498083,45,52,1946,2205,0.05426356589147287,7,160,3997,84,0.5708429413271843,1114,1292,1459,383
1,method,llm4cc-integrated,deepseek-coder:6.7b,0.12522361359570663,70,719,3200,259,0.014619883040935673,5,656,3569,18,0.027420736932305057,32,52,1946,2218,0.02688172043010753,5,276,3881,86,0.41577608142493644,817,1616,1135,680
2,method,llm4cc-clone_type,qwen2.5-coder:7b,0.19056261343012704,315,2662,1257,14,0.0,0,66,4159,23,0.015768725361366625,18,15,1983,2232,0.006042296072507552,1,239,3918,90,0.6817620419925895,828,104,2647,669
3,method,llm4cc-integrated,qwen2.5-coder:7b,0.15938303341902313,217,2177,1742,112,0.011730205278592375,2,316,3909,21,0.031088082901554407,36,30,1968,2214,0.04298356510745891,17,683,3474,74,0.5875606528451698,666,104,2647,831
4,method,llm4cc-clone_type,hermes3:8b,0.0315955766192733,10,294,3625,319,0.0,0,8,4217,23,0.0721816707218167,89,127,1871,2161,0.04856512141280354,77,3003,1154,14,0.4595226953673374,491,149,2602,1006
5,method,llm4cc-integrated,hermes3:8b,0.18335901386748846,238,2029,1890,91,0.007547169811320755,1,241,3984,22,0.08059825508932282,97,60,1938,2153,0.03097345132743363,14,799,3358,77,0.5225066195939982,592,177,2574,905
